table,index,addr,region,hypothesis,bundle_score,landing_score,template_score,prev_delta,next_delta,mod8,mod16,prop_addr,prop_size,prop_flags,phase8_rank,phase8_score,phase8,phase16_rank,phase16_score,phase16,repeat8,repeat16,control_vote_exact,control_vote_near,pcrel_slot_exact,pcrel_slot_near,evidence
B,2,0x70017e33,flk_dense,likely_landing_pad_or_slot_target,4,7,0,-0xb,-0xb,3,3,0x70017e33,0x0,data|unreachable|no_transform,1,306,1,1,91,1,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017e33:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_1;aligns_top16_phase_rank_1
B,3,0x70017e28,flk_dense,likely_landing_pad_or_slot_target,4,12,0,-0xb,-0xb,0,8,0x70017e28,0x0,data|unreachable|no_transform,2,285,6,4,70,6,1,1,,0x70017e20:1:j:1,,0x70017e20:0x7001760d:near_anchor_landing,prop=0x0:data|unreachable|no_transform;best_prop=0x70017e28:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_2;aligns_top16_phase_rank_4;control_vote_near:0x70017e20:j:1;pcrel_slot_near:0x70017e20:0x7001760d:near_anchor_landing
B,4,0x70017e1d,flk_dense,likely_landing_pad_or_slot_target,0,7,0,-0xb,-0xb,5,13,0x70017e1d,0x0,data|unreachable|no_transform,7,267,3,9,61,11,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017e1d:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride
B,5,0x70017e12,flk_dense,likely_landing_pad_or_slot_target,4,12,0,-0xb,-0xb,2,2,0x70017e12,0x0,data|unreachable|no_transform,3,278,0,2,81,0,1,1,,0x70017e10:1:j:1,,0x70017e10:0x700175fd:near_anchor_landing,prop=0x0:data|unreachable|no_transform;best_prop=0x70017e12:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_3;aligns_top16_phase_rank_2;control_vote_near:0x70017e10:j:1;pcrel_slot_near:0x70017e10:0x700175fd:near_anchor_landing
B,6,0x70017e07,flk_dense,likely_landing_pad_or_slot_target,0,7,0,-0xb,-0xb,7,7,0x70017e07,0x0,data|unreachable|no_transform,6,274,5,10,60,5,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017e07:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride
B,7,0x70017dfc,flk_dense,likely_landing_pad_or_slot_target,0,12,0,-0xb,-0xb,4,12,0x70017dfc,0x0,data|unreachable|no_transform,5,274,2,16,44,10,1,1,,0x70017e00:1:j:1,,0x70017e00:0x700175ed:near_anchor_landing,prop=0x0:data|unreachable|no_transform;best_prop=0x70017dfc:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;control_vote_near:0x70017e00:j:1;pcrel_slot_near:0x70017e00:0x700175ed:near_anchor_landing
B,8,0x70017df1,flk_dense,likely_landing_pad_or_slot_target,0,7,0,-0xb,-0xb,1,1,0x70017df1,0x0,data|unreachable|no_transform,8,258,7,5,70,15,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017df1:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride
B,9,0x70017de6,flk_dense,likely_landing_pad_or_slot_target,2,7,0,-0xb,-0xb,6,6,0x70017de6,0x0,data|unreachable|no_transform,4,276,4,11,58,4,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017de6:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_4
B,10,0x70017ddb,flk_dense,likely_landing_pad_or_slot_target,2,7,0,-0xb,-0xb,3,11,0x70017ddb,0x0,data|unreachable|no_transform,1,306,1,13,57,9,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017ddb:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_1
B,11,0x70017dd0,flk_dense,likely_landing_pad_or_slot_target,2,7,0,-0xb,,0,0,0x70017dd0,0x0,data|unreachable|no_transform,2,285,6,15,53,14,1,1,,,,,prop=0x0:data|unreachable|no_transform;best_prop=0x70017dd0:0xb:insn|data|no_reorder|no_transform;zero_size_unreachable_marker;abc_minus_0xb_stride;aligns_top8_phase_rank_2
